,date,description,category,type,amount,account,account_type,transaction_amount,balance_amount,is_recurring
23,2021-01-10,CVS/PHARMACY #00866,Healthcare,Debit,21.11,Chase3229,credit_card,-21.11,-3575.02,FALSE
22,2021-01-10,5GUYS 0346 ECOMM,Food/Drink,Debit,46.81,Chase3229,credit_card,-46.81,-3553.91,FALSE
21,2021-01-10,POLLO TROPICAL 10006,Food/Drink,Debit,27.02,Chase3229,credit_card,-27.02,-3507.1,FALSE
24,2021-01-11,CVS/PHARMACY #05136,Healthcare,Debit,30.49,Chase3229,credit_card,-30.49,-3605.51,FALSE
25,2021-01-11,TCGPLAYER.COM,Entertainment,Debit,32.99,Chase3229,credit_card,-32.99,-3638.5,FALSE
26,2021-01-11,TCGPLAYER.COM,Entertainment,Debit,32.99,Chase3229,credit_card,-32.99,-3671.49,FALSE
27,2021-01-12,POLLO TROPICAL 10125,Food/Drink,Debit,27.35,Chase3229,credit_card,-27.35,-3698.84,FALSE
28,2021-01-12,TCGPLAYER.COM,Entertainment,Credit,32.99,Chase3229,credit_card,32.99,-3665.85,FALSE
29,2021-01-12,COOLSTUFFINC.COM LLC,Entertainment,Debit,9.18,Chase3229,credit_card,-9.18,-3675.03,FALSE
30,2021-01-13,TMOBILE*AUTO PAY,Phone/Cable,Debit,311.54,Chase3229,credit_card,-311.54,-3986.57,TRUE
32,2021-01-14,CKE*THREEFOLD CAFE BRICKE,Food/Drink,Debit,3.87,Chase3229,credit_card,-3.87,-4043.94,FALSE
33,2021-01-14,S.FL.ENT-CC01 KENDALL,Healthcare,Debit,70.0,Chase3229,credit_card,-70.0,-4113.94,FALSE
31,2021-01-14,THE HOME DEPOT #6976,Shopping,Debit,53.5,Chase3229,credit_card,-53.5,-4040.07,FALSE
34,2021-01-15,THE HOME DEPOT 6976,Shopping,Debit,342.28,Chase3229,credit_card,-342.28,-4456.22,FALSE
35,2021-01-16,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,2.75,Chase3229,credit_card,-2.75,-4458.97,FALSE
36,2021-01-16,PUBLIX #1389,Groceries,Debit,32.88,Chase3229,credit_card,-32.88,-4491.85,FALSE
37,2021-01-16,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,16.97,Chase3229,credit_card,-16.97,-4508.82,FALSE
38,2021-01-16,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,14.6,Chase3229,credit_card,-14.6,-4523.42,FALSE
39,2021-01-16,PLUG BALANCE,BALANCE,Debit,146.18,Citi0052,credit_card,-146.18,-4669.6,FALSE
40,2021-01-17,CORETCG 626-577-6696 CA,Entertainment,Debit,10.0,Citi0052,credit_card,-10.0,-4679.6,FALSE
41,2021-01-17,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,15.85,Citi0052,credit_card,-15.85,-4695.45,FALSE
47,2021-01-18,PUBLIX #1108,Groceries,Debit,89.52,Chase3229,credit_card,-89.52,-4359.49,FALSE
48,2021-01-18,RODBENDERS RAW BAR &amp; GRI,Food/Drink,Debit,84.22,Chase3229,credit_card,-84.22,-4443.71,FALSE
45,2021-01-18,COYO WYNWOOD,Food/Drink,Debit,23.37,Chase3229,credit_card,-23.37,-4919.97,FALSE
46,2021-01-18,Payment Thank You - Web,Payment/Credit,Credit,650.0,Chase3229,credit_card,650.0,-4269.97,TRUE
44,2021-01-18,POLLO TROPICAL 10021,Food/Drink,Debit,27.35,Chase3229,credit_card,-27.35,-4896.6,FALSE
43,2021-01-18,MARATHON PETRO170803,Gas/Automotive,Debit,5.8,Chase3229,credit_card,-5.8,-4869.25,FALSE
42,2021-01-18,THE HOME DEPOT 6976,Shopping,Debit,168.0,Chase3229,credit_card,-168.0,-4863.45,FALSE
49,2021-01-19,NETFLIX.COM NETFLIX.COM CA Digital Account Number XXXXXXXXXXXX6085,Phone/Cable,Debit,17.27,Citi0052,credit_card,-17.27,-4460.98,TRUE
50,2021-01-20,POLLO TROPICAL 10125,Food/Drink,Debit,40.7,Chase3229,credit_card,-40.7,-4501.68,FALSE
51,2021-01-21,TOM THUMB 127,Gas/Automotive,Debit,19.99,Chase3229,credit_card,-19.99,-4521.67,FALSE
52,2021-01-21,PARTY CITY 238,Shopping,Debit,40.62,Chase3229,credit_card,-40.62,-4562.29,FALSE
53,2021-01-21,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,11.56,Chase3229,credit_card,-11.56,-4573.85,FALSE
54,2021-01-21,A HEAVENLY GARDEN,Shopping,Debit,51.36,Chase3229,credit_card,-51.36,-4625.21,FALSE
55,2021-01-21,CORETCG 626-577-6696 CA,Entertainment,Debit,10.0,Citi0052,credit_card,-10.0,-4635.21,FALSE
56,2021-01-21,PAYPAL *OTTENSMANN EBA 4029357733 CA Digital Account Number XXXXXXXXXXXX6106,Entertainment,Debit,52.43,Citi0052,credit_card,-52.43,-4687.64,FALSE
61,2021-01-22,HOMEDEPOT.COM 800-430-3376 GA,Shopping,Debit,89.39,Citi0052,credit_card,-89.39,-4978.6,FALSE
60,2021-01-22,METROPCS WEB 888-863-8768 WA,Phone/Cable,Debit,70.0,Citi0052,credit_card,-70.0,-4889.21,TRUE
57,2021-01-22,STORAGE KING (MIAMI),Services,Debit,113.31,Chase3229,credit_card,-113.31,-4800.95,FALSE
58,2021-01-22,COOLSTUFFINC.COM LLC,Entertainment,Debit,3.26,Chase3229,credit_card,-3.26,-4804.21,FALSE
59,2021-01-22,GOOGLE *SVCSGNS.3379-0 6502530000 CA,Phone/Cable,Debit,15.0,Citi0052,credit_card,-15.0,-4819.21,TRUE
62,2021-01-23,TRUE BARISTAS,Food/Drink,Debit,4.25,Chase3229,credit_card,-4.25,-4982.85,FALSE
63,2021-01-23,COOLSTUFFINC.COM LLC,Entertainment,Debit,8.6,Chase3229,credit_card,-8.6,-4991.45,FALSE
68,2021-01-24,FOOD AT SEASIAM 3052335599 KS Digital Account Number XXXXXXXXXXXX9070,Food/Drink,Debit,116.45,Citi0052,credit_card,-116.45,-5338.44,FALSE
64,2021-01-24,THE HOME DEPOT #6976,Shopping,Debit,127.12,Chase3229,credit_card,-127.12,-5118.57,FALSE
65,2021-01-24,RINCONCITOS SALVADORENO,Food/Drink,Debit,90.34,Chase3229,credit_card,-90.34,-5208.91,FALSE
66,2021-01-24,FRESCO Y MAS #388,Groceries,Debit,11.09,Chase3229,credit_card,-11.09,-5220.0,FALSE
67,2021-01-24,PAYPAL *VIZMEDIALLC 4029357733 CA Digital Account Number XXXXXXXXXXXX6106,Entertainment,Debit,1.99,Citi0052,credit_card,-1.99,-5221.99,FALSE
70,2021-01-25,PUBLIX #1389,Groceries,Debit,24.18,Chase3229,credit_card,-24.18,-5989.56,FALSE
69,2021-01-25,THE HOME DEPOT 6976,Shopping,Debit,626.94,Chase3229,credit_card,-626.94,-5965.38,FALSE
71,2021-01-26,COOLSTUFFINC.COM LLC,Entertainment,Debit,17.83,Chase3229,credit_card,-17.83,-6007.39,FALSE
72,2021-01-26,HLU*HULU 771611182912- HULU.COM/BILL CA,Phone/Cable,Debit,12.71,Citi0052,credit_card,-12.71,-6020.1,TRUE
73,2021-01-27,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,20.59,Chase3229,credit_card,-20.59,-6040.69,FALSE
74,2021-01-28,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,18.89,Chase3229,credit_card,-18.89,-6059.58,FALSE
75,2021-01-28,FRESCO Y MAS #387,Groceries,Debit,8.48,Chase3229,credit_card,-8.48,-6068.06,FALSE
76,2021-01-28,RICKS YELLOW BAIT HOUSE,Entertainment,Debit,14.31,Chase3229,credit_card,-14.31,-6082.37,FALSE
77,2021-01-29,SEA SIAM,Food/Drink,Debit,38.32,Chase3229,credit_card,-38.32,-6120.69,FALSE
78,2021-01-29,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,4.91,Citi0052,credit_card,-4.91,-6125.6,FALSE
79,2021-01-29,FOOD AT SEASIAM 3052335599 KS Digital Account Number XXXXXXXXXXXX9070,Food/Drink,Debit,99.3,Citi0052,credit_card,-99.3,-6224.9,FALSE
82,2021-01-30,APPLE.COM/BILL 866-712-7753 CA,Phone/Cable,Debit,0.99,Citi0052,credit_card,-0.99,-6484.36,TRUE
80,2021-01-30,FRESCO Y MAS #387,Groceries,Debit,14.31,Chase3229,credit_card,-14.31,-6239.21,FALSE
81,2021-01-30,aliexpress,Shopping,Debit,244.16,Chase3229,credit_card,-244.16,-6483.37,FALSE
83,2021-01-31,PUBLIX #1695,Groceries,Debit,19.77,Chase3229,credit_card,-19.77,-6504.13,FALSE
84,2021-01-31,5GUYS 0346 ECOMM,Food/Drink,Debit,27.15,Chase3229,credit_card,-27.15,-6531.28,FALSE
85,2021-01-31,CORETCG 626-577-6696 CA,Entertainment,Debit,10.0,Citi0052,credit_card,-10.0,-6541.28,FALSE
86,2021-01-31,FOOD AT SEASIAM 3052335599 KS Digital Account Number XXXXXXXXXXXX9070,Food/Drink,Debit,109.02,Citi0052,credit_card,-109.02,-6650.3,FALSE
88,2021-02-01,CKO*PATREON* MEMBERSHI 833-9728766 CA,Entertainment,Debit,5.0,Citi0052,credit_card,-5.0,-6892.3,FALSE
87,2021-02-01,eBay O*06-06504-95367 San Jose CA Digital Account Number XXXXXXXXXXXX9070,Entertainment,Debit,237.0,Citi0052,credit_card,-237.0,-6887.3,FALSE
91,2021-02-02,OFFER 04 PROMOTIONAL APR ENDED 02/01/21,Payment/Credit,Credit,5.0,Citi0052,credit_card,5.0,-6786.78,TRUE
92,2021-02-02,OFFER 04 MOVED TO STANDARD PURCH,Fees/Adjustments,Debit,5.0,Citi0052,credit_card,-5.0,-6791.78,FALSE
89,2021-02-02,POLLO TROPICAL 10125,Food/Drink,Debit,26.6,Chase3229,credit_card,-26.6,-6918.9,FALSE
90,2021-02-02,THE HOME DEPOT 6976,Shopping,Credit,127.12,Chase3229,credit_card,127.12,-6791.78,FALSE
94,2021-02-03,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,1.69,Citi0052,credit_card,-1.69,-7933.94,FALSE
93,2021-02-03,BALANCE PLUG,BALANCE,Debit,1140.47,Amazon0413,credit_card,-1140.47,-7932.25,FALSE
95,2021-02-04,parkreceipts.com T,Gas/Automotive,Debit,21.42,Chase3229,credit_card,-21.42,-7955.36,FALSE
96,2021-02-04,MARATHON PETRO170803,Gas/Automotive,Debit,30.48,Chase3229,credit_card,-30.48,-7985.84,FALSE
97,2021-02-04,Amazon Tips*IE7AO3733,Shopping,Debit,10.0,Amazon0413,credit_card,-10.0,-7995.84,FALSE
98,2021-02-04,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,2.68,Citi0052,credit_card,-2.68,-7998.52,FALSE
99,2021-02-04,PAYPAL *CORE TCG 4029357733 CA Digital Account Number XXXXXXXXXXXX6106,Entertainment,Debit,4.0,Citi0052,credit_card,-4.0,-8002.52,FALSE
100,2021-02-05,COYO WYNWOOD,Food/Drink,Debit,18.45,Chase3229,credit_card,-18.45,-8020.97,FALSE
105,2021-02-06,PAYMENT THANK YOU,Payment/Credit,Credit,1053.84,Citi0052,credit_card,1053.84,-7064.02,TRUE
104,2021-02-06,COOLSTUFFINC.COM LLC,Entertainment,Debit,1.93,Chase3229,credit_card,-1.93,-8117.86,FALSE
106,2021-02-06,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,1.96,Citi0052,credit_card,-1.96,-7065.98,FALSE
102,2021-02-06,COOLSTUFFINC.COM LLC,Entertainment,Debit,7.36,Chase3229,credit_card,-7.36,-8069.98,FALSE
101,2021-02-06,TARGET        00010751,Shopping,Debit,41.65,Chase3229,credit_card,-41.65,-8062.62,FALSE
103,2021-02-06,SEA SIAM,Food/Drink,Debit,45.95,Chase3229,credit_card,-45.95,-8115.93,FALSE
107,2021-02-07,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,23.01,Chase3229,credit_card,-23.01,-7088.99,FALSE
108,2021-02-07,LAZ PARKING 560443,Gas/Automotive,Debit,2.0,Chase3229,credit_card,-2.0,-7090.99,FALSE
109,2021-02-07,Amazon.com*IZ1PE8W03,Shopping,Debit,20.96,Amazon0413,credit_card,-20.96,-7111.95,FALSE
110,2021-02-07,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,0.4,Citi0052,credit_card,-0.4,-7112.35,FALSE
111,2021-02-07,CVS/PHARMACY #05136 MIAMI FL,Shopping,Debit,1.17,Citi0052,credit_card,-1.17,-7113.52,FALSE
112,2021-02-07,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,11.7,Citi0052,credit_card,-11.7,-7125.22,FALSE
113,2021-02-08,TST* PLANTA - COCONUT GRO,Food/Drink,Debit,142.07,Chase3229,credit_card,-142.07,-7267.29,FALSE
114,2021-02-08,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,4.69,Citi0052,credit_card,-4.69,-7271.98,FALSE
116,2021-02-09,Amazon.com*W33WD71B3,Groceries,Debit,105.25,Amazon0413,credit_card,-105.25,-7404.77,FALSE
115,2021-02-09,COOLSTUFFINC.COM LLC,Entertainment,Debit,27.54,Chase3229,credit_card,-27.54,-7299.52,FALSE
118,2021-02-11,AMZN Mktp US*LB9X98Y73,Shopping,Debit,28.71,Amazon0413,credit_card,-28.71,-7440.48,FALSE
117,2021-02-11,Amazon Tips*IO7GT6H43,Shopping,Debit,7.0,Amazon0413,credit_card,-7.0,-7411.77,FALSE
119,2021-02-12,ALMAOS INVESTMENTS LLC,Groceries,Debit,16.71,Chase3229,credit_card,-16.71,-7457.19,FALSE
120,2021-02-12,Amazon.com*N369H7TP3,Shopping,Debit,4.97,Amazon0413,credit_card,-4.97,-7462.16,FALSE
121,2021-02-12,Amazon.com*H73WM8K63,Shopping,Debit,9.74,Amazon0413,credit_card,-9.74,-7471.9,FALSE
122,2021-02-13,SEA SIAM,Food/Drink,Debit,90.08,Chase3229,credit_card,-90.08,-7561.98,FALSE
123,2021-02-13,WALGREENS #10470,Healthcare,Debit,16.03,Chase3229,credit_card,-16.03,-7578.01,FALSE
124,2021-02-13,TMOBILE*AUTO PAY,Phone/Cable,Debit,240.89,Chase3229,credit_card,-240.89,-7818.9,TRUE
125,2021-02-13,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,2.66,Citi0052,credit_card,-2.66,-7821.56,FALSE
128,2021-02-14,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,10.7,Citi0052,credit_card,-10.7,-7860.18,FALSE
129,2021-02-14,GOOGLE*GOOGLE STORAGE INTERNET CA,Phone/Cable,Debit,1.99,Citi0052,credit_card,-1.99,-7862.17,TRUE
126,2021-02-14,Amazon.com*567QV1OS3,Shopping,Debit,22.05,Amazon0413,credit_card,-22.05,-7843.61,FALSE
127,2021-02-14,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,5.87,Citi0052,credit_card,-5.87,-7849.48,FALSE
130,2021-02-15,PDQ 435,Food/Drink,Debit,44.91,Chase3229,credit_card,-44.91,-7907.08,FALSE
131,2021-02-15,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,14.94,Chase3229,credit_card,-14.94,-7922.02,FALSE
132,2021-02-15,TST* AGUACATE,Food/Drink,Debit,51.01,Chase3229,credit_card,-51.01,-7973.03,FALSE
133,2021-02-15,SHADOW REALM GAMES,Entertainment,Debit,5.0,Chase3229,credit_card,-5.0,-7978.03,FALSE
134,2021-02-16,FEDEX 772840084420,Services,Debit,46.88,Chase3229,credit_card,-46.88,-8024.91,FALSE
135,2021-02-16,Amazon.com*7J7J17ZK3,Groceries,Debit,104.24,Amazon0413,credit_card,-104.24,-8129.15,FALSE
136,2021-02-16,Amazon.com*XD8UP4X43,Groceries,Debit,3.69,Amazon0413,credit_card,-3.69,-8132.84,FALSE
137,2021-02-16,Amazon.com*969MX69W3,Shopping,Debit,51.54,Amazon0413,credit_card,-51.54,-8184.38,FALSE
138,2021-02-16,DISNEYPLUS 888-9057888 CA,Phone/Cable,Debit,7.92,Citi0052,credit_card,-7.92,-8192.3,TRUE
143,2021-02-17,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Credit,9.84,Citi0052,credit_card,9.84,-8283.46,FALSE
142,2021-02-17,Amazon.com*OL60A8223,Shopping,Debit,50.76,Amazon0413,credit_card,-50.76,-8293.3,FALSE
141,2021-02-17,AMZN Mktp US*ZG7OL6ED3,Shopping,Debit,24.68,Amazon0413,credit_card,-24.68,-8242.54,FALSE
140,2021-02-17,COOLSTUFFINC.COM LLC,Entertainment,Credit,6.84,Chase3229,credit_card,6.84,-8217.86,FALSE
139,2021-02-17,SHELL OIL 57543872600,Gas/Automotive,Debit,32.4,Chase3229,credit_card,-32.4,-8224.7,FALSE
144,2021-02-18,COOLSTUFFINC.COM LLC,Entertainment,Debit,7.85,Chase3229,credit_card,-7.85,-8291.31,FALSE
145,2021-02-18,AMZN Mktp US*UE3TN0553,Shopping,Debit,22.59,Amazon0413,credit_card,-22.59,-8313.9,FALSE
146,2021-02-18,AMZN Mktp US*LX4QD4DC3,Shopping,Debit,4.23,Amazon0413,credit_card,-4.23,-8318.13,FALSE
147,2021-02-18,Amazon Tips*RU0RT2RL3,Shopping,Debit,7.0,Amazon0413,credit_card,-7.0,-8325.13,FALSE
148,2021-02-18,PAYMENT THANK YOU,Payment/Credit,Credit,39.22,Citi0052,credit_card,39.22,-8285.91,TRUE
149,2021-02-19,COOLSTUFFINC.COM LLC,Entertainment,Debit,3.42,Chase3229,credit_card,-3.42,-8289.33,FALSE
150,2021-02-19,Amazon.com*E64KG91V3,Shopping,Debit,56.42,Amazon0413,credit_card,-56.42,-8345.75,FALSE
151,2021-02-19,NETFLIX.COM NETFLIX.COM CA Digital Account Number XXXXXXXXXXXX6085,Phone/Cable,Debit,19.43,Citi0052,credit_card,-19.43,-8365.18,TRUE
157,2021-02-20,Amazon Prime*182Y80WE3,Phone/Cable,Debit,12.99,Amazon0413,credit_card,-12.99,-8593.8,TRUE
156,2021-02-20,SEA SIAM,Food/Drink,Debit,84.76,Chase3229,credit_card,-84.76,-8580.81,FALSE
155,2021-02-20,COOLSTUFFINC.COM LLC,Entertainment,Debit,11.05,Chase3229,credit_card,-11.05,-8496.05,FALSE
153,2021-02-20,STORAGE KING (MIAMI),Services,Debit,113.31,Chase3229,credit_card,-113.31,-8483.64,FALSE
152,2021-02-20,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,5.15,Chase3229,credit_card,-5.15,-8370.33,FALSE
154,2021-02-20,COOLSTUFFINC.COM LLC,Entertainment,Debit,1.36,Chase3229,credit_card,-1.36,-8485.0,FALSE
158,2021-02-21,CAFE LARGO,Food/Drink,Debit,88.11,Chase3229,credit_card,-88.11,-8681.91,FALSE
159,2021-02-21,COOLSTUFFINC.COM LLC,Entertainment,Debit,8.34,Chase3229,credit_card,-8.34,-8690.25,FALSE
160,2021-02-21,STARBUCKS 800-782-7282 800-782-7282 WA Digital Account Number XXXXXXXXXXXX9070,Food/Drink,Debit,15.0,Citi0052,credit_card,-15.0,-8705.25,FALSE
163,2021-02-22,Amazon.com*RB8VS5TS3,Groceries,Debit,115.68,Amazon0413,credit_card,-115.68,-9074.03,FALSE
161,2021-02-22,THE HOME DEPOT 6976,Shopping,Debit,183.96,Chase3229,credit_card,-183.96,-8889.21,FALSE
162,2021-02-22,THE HOME DEPOT 6976,Shopping,Debit,69.14,Chase3229,credit_card,-69.14,-8958.35,FALSE
165,2021-02-23,UBER EATS 8005928996 CA,Food/Drink,Debit,29.8,Citi0052,credit_card,-29.8,-9107.33,FALSE
164,2021-02-23,UBER EATS 8005928996 CA,Food/Drink,Debit,3.5,Citi0052,credit_card,-3.5,-9077.53,FALSE
166,2021-02-24,Amazon.com*GX0AY6203,Shopping,Debit,50.76,Amazon0413,credit_card,-50.76,-9158.09,FALSE
167,2021-02-24,Amazon Tips*XQ7OM3GB3,Shopping,Debit,7.0,Amazon0413,credit_card,-7.0,-9165.09,FALSE
168,2021-02-25,THE HOME DEPOT 6976,Shopping,Debit,215.07,Chase3229,credit_card,-215.07,-9380.16,FALSE
169,2021-02-25,SQ *SWEET MELODY CRAFTED,Groceries,Debit,40.12,Chase3229,credit_card,-40.12,-9420.28,FALSE
170,2021-02-25,AMZN Mktp US*SR1G19NL3,Shopping,Debit,60.0,Amazon0413,credit_card,-60.0,-9480.28,FALSE
171,2021-02-25,TCGPLAYER.COM 3154368008 NY,Entertainment,Debit,2.53,Citi0052,credit_card,-2.53,-9482.81,FALSE
172,2021-02-26,AUTOMATIC PAYMENT - THANK,Payment/Credit,Credit,58.0,Chase3229,credit_card,58.0,-9424.81,TRUE
173,2021-02-26,Amazon.com*ZL01O9BP3,Groceries,Debit,67.79,Amazon0413,credit_card,-67.79,-9492.6,FALSE
174,2021-02-26,HLU*HULU 771611185888- HULU.COM/BILL CA,Phone/Cable,Debit,12.71,Citi0052,credit_card,-12.71,-9505.31,TRUE
177,2021-02-27,MARATHON PETRO170803,Gas/Automotive,Debit,28.84,Chase3229,credit_card,-28.84,-9570.54,FALSE
176,2021-02-27,CVS/PHARMACY #00866,Healthcare,Debit,12.09,Chase3229,credit_card,-12.09,-9541.7,FALSE
175,2021-02-27,PUBLIX #1389,Groceries,Debit,24.3,Chase3229,credit_card,-24.3,-9529.61,FALSE
178,2021-02-28,POLLO TROPICAL 10125,Food/Drink,Debit,27.99,Chase3229,credit_card,-27.99,-9598.53,FALSE
179,2021-02-28,POLLO TROPICAL 10125,Food/Drink,Debit,4.16,Chase3229,credit_card,-4.16,-9602.69,FALSE
180,2021-02-28,CVS/PHARMACY #05136,Healthcare,Credit,12.09,Chase3229,credit_card,12.09,-9590.6,FALSE
181,2021-02-28,CVS/PHARMACY #05136,Healthcare,Debit,6.99,Chase3229,credit_card,-6.99,-9597.59,FALSE
182,2021-02-28,AUTOMATIC PAYMENT - THANK,Payment/Credit,Credit,1140.47,Amazon0413,credit_card,1140.47,-8457.12,TRUE
183,2021-02-28,THE HOME DEPOT #6976 MIAMI FL,Shopping,Debit,45.97,Citi0052,credit_card,-45.97,-8503.09,FALSE
184,2021-02-28,THE HOME DEPOT #6976 MIAMI FL,Shopping,Debit,45.97,Citi0052,credit_card,-45.97,-8549.06,FALSE
190,2021-03-01,PDQ 435 OLO 813-2621206 FL,Food/Drink,Debit,48.11,Citi0052,credit_card,-48.11,-8759.26,FALSE
189,2021-03-01,CKO*PATREON* MEMBERSHI 833-9728766 CA,Entertainment,Debit,5.0,Citi0052,credit_card,-5.0,-8711.15,FALSE
188,2021-03-01,APPLE.COM/BILL 866-712-7753 CA,Phone/Cable,Debit,0.99,Citi0052,credit_card,-0.99,-8706.15,TRUE
186,2021-03-01,Amazon.com*DC3P628F3,Groceries,Debit,130.89,Amazon0413,credit_card,-130.89,-8700.16,FALSE
187,2021-03-01,Amazon Tips*158H35Q73,Shopping,Debit,5.0,Amazon0413,credit_card,-5.0,-8705.16,FALSE
185,2021-03-01,THE HOME DEPOT 6976,Shopping,Debit,20.21,Chase3229,credit_card,-20.21,-8569.27,FALSE
191,2021-03-02,CVS/PHARMACY #05136,Healthcare,Debit,31.97,Chase3229,credit_card,-31.97,-8791.23,FALSE
192,2021-03-02,COOLSTUFFINC.COM LLC 407-695-6554 FL,Entertainment,Debit,3.91,Citi0052,credit_card,-3.91,-8795.14,FALSE
193,2021-03-03,CVS/PHARMACY #05136,Healthcare,Debit,18.4,Chase3229,credit_card,-18.4,-8813.54,FALSE
194,2021-03-03,AMZN Mktp US*CT1RH57E3,Shopping,Debit,59.63,Amazon0413,credit_card,-59.63,-8873.17,FALSE
195,2021-03-03,Amazon Tips*PK7SF1V03,Shopping,Debit,7.0,Amazon0413,credit_card,-7.0,-8880.17,FALSE
196,2021-03-04,DOLPHIN CARPET &amp; TIL,Shopping,Debit,1654.58,Chase3229,credit_card,-1654.58,-10534.75,FALSE
197,2021-03-04,PUBLIX #1389,Groceries,Debit,24.4,Chase3229,credit_card,-24.4,-10559.15,FALSE
199,2021-03-05,PAYMENT THANK YOU,Payment/Credit,Credit,232.92,Citi0052,credit_card,232.92,-10340.0,TRUE
198,2021-03-05,COOLSTUFFINC.COM LLC,Entertainment,Debit,13.77,Chase3229,credit_card,-13.77,-10572.92,FALSE
200,2021-03-06,THE HOME DEPOT 210,Shopping,Debit,34.18,Chase3229,credit_card,-34.18,-10374.18,FALSE
201,2021-03-06,POLLO TROPICAL 10006,Food/Drink,Debit,20.31,Chase3229,credit_card,-20.31,-10394.49,FALSE
202,2021-03-06,SP * DUTTONBROWN.COM,Shopping,Debit,931.0,Chase3229,credit_card,-931.0,-11325.49,FALSE
203,2021-03-06,LOWES #00907*,Shopping,Debit,385.14,Chase3229,credit_card,-385.14,-11710.63,FALSE
204,2021-03-07,POLLO TROPICAL 10006,Food/Drink,Debit,26.6,Chase3229,credit_card,-26.6,-11737.23,FALSE
